dataset_id,role,track_or_network,temporal_coverage,expected_local_path,provider,public_source,redistributed_on_github,notes
insar_asc_t64,Cumulative LOS displacement; E-N inversion and strain,Sentinel-1A/B ascending Track 64 frame 064A_05410_131313,80 epochs 2017-05-27 to 2019-11-25,data/track64/YYYYMMDD.txt,LiCSAR and LiCSBAS,https://comet.nerc.ac.uk/comet-lics-portal/,no,Frame master 2019-04-17; heading -10.146887 deg; mean incidence 39.6181 deg
insar_desc_t71,Cumulative LOS displacement; E-N inversion and strain,Sentinel-1A/B descending Track 71 frame 071D_05377_131313,80 epochs 2017-05-27 to 2019-11-25,data/cum_full_scene_no_GACOS.h5,LiCSAR and LiCSBAS,https://comet.nerc.ac.uk/comet-lics-portal/,no,Frame master 2017-03-04; heading -169.84503 deg; mean incidence 33.7677 deg; extra quality screening produces the near-fault gaps
insar_desc_t71_gacos,GACOS-corrected comparison branch,Sentinel-1A/B descending Track 71,80 epochs 2017-05-27 to 2019-11-25,data/cum_GACOS_full_scene.h5,LiCSAR LiCSBAS and GACOS,http://www.gacos.net/,no,Model-based correction; not an independent acquisition
look_vectors_asc,Pixel-specific E N U look-vector components,Sentinel-1 ascending Track 64,static,data/external/GEOC_asc/064A_05410_131313.geo.{E N U}.tif,LiCSAR,https://comet.nerc.ac.uk/comet-lics-portal/,no,Taken directly from LiCSAR metadata; re-normalised after resampling
look_vectors_desc,Pixel-specific E N U look-vector components,Sentinel-1 descending Track 71,static,data/external/GEOC_desc/071D_05377_131313.geo.{E N U}.tif,LiCSAR,https://comet.nerc.ac.uk/comet-lics-portal/,no,Taken directly from LiCSAR metadata; re-normalised after resampling
gnss_ngl,Vertical field interpolation and independent HLOS validation,24 Nevada Geodetic Laboratory continuous stations,daily solutions 2017-2019,data/external/GNSS/*.tenv3,Nevada Geodetic Laboratory,https://geodesy.unr.edu/,no,Cite Blewitt Hammond and Kreemer 2018 Eos 99; acquisition-time values are temporally estimated not observed
fault_traces_cgs,Fault-barrier geometry and near-fault domain definition,California Geological Survey rupture mapping,post-event 2019,data/cgs_2019_ridgecrest_fault_ruptures.geojson,California Geological Survey,https://gis.conservation.ca.gov/server/rest/services/CGS/2019_Ridgecrest_Earthquakes_Rupture_Mapping/FeatureServer/0,no,Query metadata in cgs_2019_ridgecrest_fault_ruptures_source.json; documented by Ponti et al 2020 SRL 91 2942-2959
source_segments,Fault-side connectivity for cokriging and strain operators,Paxton Ranch and Salt Wells Valley finite segments,post-event 2019,derived in src/ridgecrest_fault_points.py,this study,see repository,yes,Two-segment first-order geometry; not a slip model
