z_threshold,minimum_cluster_cells,pre_event_maximum_mass,pre_event_block_fwer_p,event_interval_maximum_mass,event_interval_fwer_p
1.645,4,0.0,1.0,25.868039091899817,0.05172413793103448
1.96,3,0.0,1.0,16.348781163481256,0.06896551724137931
1.96,4,0.0,1.0,16.348781163481256,0.06896551724137931
1.96,6,0.0,1.0,16.348781163481256,0.06896551724137931
2.576,4,0.0,1.0,4.992674028593754,0.06896551724137931
